title,image_url,category,era,size_and_description
澄泥龍珠硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=173048&randomCode=514469624,文具,元,長15.4公分 寬9.6公分 高2.1公分 硯體琢成幡龍形，澄泥製，色黃泛紫色，硯面受墨處作正圓形，有如蟠龍抱珠之勢，墨池正處在龍口，有呼風吐雨之狀，硯背右側刻御題銘一首：「墨華吐沛時雨」，鈐印：「乾」、「隆」連珠印，硯背作為龍腹，亦刻銘一首，計十六字，唯內缺一字，「乾魁至文，陰陽既分，爰此龍□、曰美斯聞。」款署：「魯宣」二字，皆篆書，鈐印一：「仲圭」。按「仲圭」，係元吳鎮字，善書畫，此硯蓋其所寶者。
澄泥蟠螭硯,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=173056&randomCode=814138053,文具,宋,長17.1公分 寬10.6公分 高2.8公分 硯作長方形，澄泥製，其色黃而淡，質輕，極為細緻，《西清硯譜》云為：「澄泥中最上品者」。墨池中浮雕一伏臥螭紋，然已有漫漶不清之感，硯面受墨處深窪，硯背上深下淺，此硯正背兩面，應均可受墨，通體滿佈墨鏽，應是宋代之物無疑，硯壁周側環刻清高宗御題銘乙首，此銘亦收入《清高宗御製詩文全集》一，《御製文》二集，卷四十，頁五－六。銘曰：「囊汾水之土乎，規南皮之瓦手，是何質堅而色古乎，扣之鏗然如戛金石，其徐韻悠揚又如琴瑟之搏拊乎，蟠以文螭，有若蛟龍之興雲雨乎，硯乎、硯乎，供奉懋勤，渙汗其大，號渙玉居，庶幾无咎乎。」款題「乾隆戊戌御銘」，鈐印一：「幾暇臨池」，按「戊戌」為「乾隆四十三年」，西元1778年。
御詠花卉詩「翠雀」藍墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182158&randomCode=29236710275,文具,清 乾隆,長11.4公分 長方形藍色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠翠雀。居然眼翅如生動，曉露承來吐細芬，便有遊蜂欲採蕊，何妨物類本同羣。」一面模印翠雀花為飾。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「蘭」綠墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182161&randomCode=72044255264,文具,清 乾隆,長11.3公分 長方形綠色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠蘭。成圖可識神來筆，紉佩定知香滿衣，青瑣玉堂恐未稱，雅宜九畹傍紫扉。」一面模印蘭花一株，蘭葉弧垂交疊，蘭花挺直盛開。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「珍珠蘭」綠墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182164&randomCode=38865012727,文具,清 乾隆,長11.4公分 長方形綠色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠珍珠蘭。垂垂黃穗擬珠珍，薰茗烹湯香滿脣，花譜卻稱色正紫，從知記載信誰真。」一面模印珍珠蘭三枝由左下伸出，花葉繁茂，作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「石竹」綠墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182167&randomCode=32575093052,文具,清 乾隆,長11.3公分 長方形綠色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠石竹。石側㛹娟致冶幽，有枝有葉卻非脩，不於霜後看稜節，五色應迷王子猷。」一面模印石竹兩枝由右下伸出，花葉繁茂，作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「鳳仙」綠墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182170&randomCode=85146210379,文具,清 乾隆,長11.4公分 長方形綠色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠鳳仙。揚毳最合臨秋曉，弄景偏宜對月明，一種閒庭風露下，騎來定是董雙成。」一面模印鳳仙花兩枝，花葉繁茂。為盛開生長之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「梅」綠墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182173&randomCode=21080810315,文具,清 乾隆,長11.4公分 長方形綠色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠梅。古淡丰姿清淨香，貞元消息朵中藏，女夷若道無神解，那令斯華殿眾芳。」一面模印梅花一枝，枝幹彎折，作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「瑞香」白墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182176&randomCode=922905205,文具,清 乾隆,長11.3公分 長方形白色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠瑞香。麝作輕囊雲作窩，柔枝不勝體婆娑，比邱設謂間香得，應是無端墮睡魔。」一面模印。墨側有瑞香花兩枝，枝葉茂盛，花作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「水仙」白墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182178&randomCode=689290217,文具,清 乾隆,長11.0公分 長方形白色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠水仙。心鏤黃金瓣裁玉，玉金豈足累清高，傳神若問誰稱最，八斗唯應子建曹。」一面模印水仙兩株，花作盛開之貌。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「梨花」白墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182181&randomCode=2043074319,文具,清 乾隆,長10.9公分 長方形白色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠梨花。喜白為姿懶著紅，傳根疑是水晶宮，十分靚豔曾何礙，饒有一般林下風。」一面模印梨花兩枝由左下伸出，花葉繁茂，作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「玉蘭」白墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182184&randomCode=53687730970,文具,清 乾隆,長10.9公分 長方形白色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠玉蘭。迎春樹樹綻芳蕤，蘭想清香玉想姿，卻以詩人稱木筆，侵尋奪席笑辛夷。」一面模印玉蘭花由右下斜出，滿枝皆花，盛開含苞者皆見。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「繡毬花」白墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182187&randomCode=680300466,文具,清 乾隆,長10.9公分 長方形白色墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠繡毬花。幾度江南見花朵，祇疑枝上雪攢球，玲瓏簇就煙霞體，點綴真宜山水州。」一面模印繡毬花兩枝由左側伸出，花葉繁茂，作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「紫薇」硃墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182190&randomCode=27151167008,文具,清,長11.4公分 長方形硃墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠紫薇。常開夏裏輕盈色，亦散風前淡蕩香，卻笑無心花木種，那知世有令和郎。」是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉詩「荷」硃墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182197&randomCode=35838556095,文具,清,長11.3公分 長方形硃墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠荷。鯉魚風動柄柶搖，破葉?華勢若飄，卻是色香真淨處，水天了了照清寥。」一面模印荷花荷葉為飾，其中荷花三朵，兩朵盛開，一朵含苞，荷葉張展翻折，各具姿態。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
御詠花卉「錦葵」詩硃墨,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=182200&randomCode=42308640234,文具,清 乾隆,長11.2公分 長方形硃墨，邊框起棱。一面有填金隸書乾隆詩作：「御詠錦葵。淡紫深紅麗蕊繁，開時頗足張秋園，如荍應憶詩人奏，况我所司風化原。」一面模印錦葵一株，枝葉茂盛，花作盛開之狀。是墨與其他二十四塊同儲一盒，為成套之御製花卉詩套墨。
玉人,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150048&randomCode=64494055710,玉器,清,長6.6公分 高7.9公分 白玉，玉色泛青。全器略成扁形，雕作兩人物，身穿長袍老者與持桃童子，一旁有鹿趴伏於地。
玉海棠式盆托,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150051&randomCode=50664504175,玉器,清,長13.1公分 寬10.5公分 通高2.0公分 白玉，玉色泛黃，局部有赭斑。盤作海棠花瓣形，弧形壁，下有四足。盤內有一圓托，用以承杯碗。
圭璧形飾,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150056&randomCode=33296644061,玉器,清,長6.7公分 寬5.1公分 白玉，玉色白。全器略呈扁圓形，中央部份作「圭璧」之形，其上陰刻卷雲紋，前後各有一鳳紋盤繞。
玉佩,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150059&randomCode=34951556232,玉器,清,長10.8公分 寬6.9公分 厚0.7公分 白玉，玉色泛黃。全器呈片狀橢圓形。正反面紋飾皆同：雕作手持如意童子，以單腳立於葫蘆之上，橫倒於下方的葫蘆，由口中長出綿延的靈芝。童子旁並有一蝙蝠。有多子多如意福氣之吉祥意義。
翠玉十角圈,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150062&randomCode=54967190042,玉器,清,長8.8公分 厚1.3公分 孔徑4.3公分 翠玉，玉色白綠相雜。全器呈圈形，外石角形，內圓形的環狀物。應為待雕琢的玉料。
翠玉長方形器,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150066&randomCode=87899703448,玉器,清,長7.9公分 寬5.5公分 厚1.1公分 翠玉，玉色白綠相雜。全器呈長方形，應為待雕琢之玉料。
玉插屏,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150070&randomCode=84690642232,玉器,清,長10.48公分 寬7.4公分 厚0.88公分 白玉，玉色白潤。全器作片狀長方形。以陰刻填金作松鶴圖。另一面有溫承惠隸書御製詩：「御製松鶴清越。仙鶴雙雙舞。蟠龍鬱鬱高。臨風翻雷羽。映曰捲天濤。密蔭留三島。清音上九皋。億齡同獻壽。共慶盛時遭。臣溫承惠敬書。」
玉石榴,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150075&randomCode=68657880217,玉器,清,寬7.9公分 通高6.6公分 厚4.7公分 白玉，局部有赭斑。全器作大小相連帶枝葉石榴果實，玉料略呈三角形。果實底部並有陰刻蝙蝠。石榴與蝙蝠有象徵多子福氣的吉祥意義。
玉葫蘆,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150081&randomCode=37839039513,玉器,清,寬6.9公分 通高10.0公分 厚3.1公分 白玉，玉色泛黃。全器為一帶瓜蒂藤蔓的葫蘆，並帶連枝小葫蘆。葫蘆一側有陰刻蝙蝠。爬蔓的葫蘆寓意子孫萬代，一旁的蝙蝠更加強多子福氣的吉祥意義。
玉葫蘆洗,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150084&randomCode=43278767764,玉器,清,長7.34公分 寬4.35公分 通高1.2公分 白玉，玉色泛青。全器為葫蘆形小淺洗，洗中央有一隻立雕青蛙。洗一角飾有葫蘆藤蔓，並延伸至底部。底部則淺浮雕為一葫蘆。
玉柿形盒,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150087&randomCode=61429074416,玉器,清,長7.1公分 寬5.4公分 通高1.6公分 白玉，玉色瑩白。全器為柿果實，呈長方扁形。蓋面為柿果底部，盒底則淺浮雕果蒂與相連枝葉，盒邊角另飾有靈芝。
翠玉盒底,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150093&randomCode=37569483749,玉器,清,高2.0公分 口徑5.76公分 足徑4.1公分 翠玉，玉色白綠相雜。全器呈圓形，只剩盒身，缺盒蓋。子母口、弧形壁、有圈足。
玉壓尺,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150096&randomCode=49523452070,玉器,清,長7.15公分 寬2.8公分 通高2.6公分 白玉，玉色泛黃。全器為長方形塊狀，玉塊上立雕一螭。附木座。木座足鏤雕卷雲。
玉墨床,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150102&randomCode=83856982069,玉器,清,長6.74公分 寬2.7公分 通高1.9公分 白玉，玉色光潤。全器呈几形，兩端向內捲，板面一高一低，可放置墨錠。附木座。
玉墨床,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150107&randomCode=59001447180,玉器,清,長8.1公分 寬2.15公分 通高1.8公分 白玉，玉色光潤。全器呈几形，兩端分別向外與向內捲，內捲處另出一小方足，立於木座上。板面平，平頂可放置墨錠。附木座。
翠玉燭台,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=152714&randomCode=286214864,玉器,清,全高6.2公分 口徑10.4公分 底徑6.0公分 翠玉，間有黃斑。全器分為燭台與承盤兩部分，與故玉1476為一對。燭台以花瓣為造形，承盤為口緣微侈的碗形，碗腹同為花瓣形。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149582&randomCode=53154814851,玉器,清,高2.5公分 口徑11.08公分 底徑7.2公分 玉質，玉色泛黃，有赭斑，器身有多處裂璺。五尖瓣菱花式口，稍外撇，弧形壁，有圈足。器底圈足內有四字隸書款：「嘉慶年製」。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150579&randomCode=38811192278,玉器,清,高2.5公分 口徑11.11公分 底徑7.2公分 玉質，玉色泛黃，有赭斑及裂璺。五尖瓣菱花式口，稍外撇，弧形壁，有圈足。器底圈足內有四字隸書款：「嘉慶年製」。
玉盤,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149586&randomCode=78539006683,玉器,清 乾隆,高2.7公分 口徑13.57公分 底徑8.4公分 玉質，玉色泛白，有片狀赭斑。直口、弧形壁，有圈足。器底圈足內有六字篆書款：「大清乾隆年製」。
玉盤,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149590&randomCode=28931248802,玉器,清 乾隆,高2.7公分 口徑13.22公分 底徑8.5公分 玉質，玉色泛白，有白綹及赭斑。直口、弧形壁，有圈足。器底圈足內有六字篆書款：「大清乾隆年製」。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150583&randomCode=73176245600,玉器,清,高2.5公分 口徑11.11公分 底徑7.1公分 玉質，玉色泛黃，有赭斑，器身有多處裂璺。五尖瓣菱花式口，稍外撇，弧形壁，有圈足。器底圈足內有四字隸書款：「嘉慶年製」。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150587&randomCode=88422727930,玉器,清,高2.4公分 口徑10.88公分 底徑6.7公分 玉質，玉色泛黃，有大片赭斑，器身有多處裂璺。五圓瓣葵花式口，稍外撇，弧形壁，有圈足。器底圈足內有四字隸書款：「嘉慶年製」。
玉盤,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150591&randomCode=89275954487,玉器,清,高3.1公分 口徑16.1公分 底徑9.0公分 玉質，玉色泛白，有白綹。口外撇、弧形壁，有圈足。
玉盤,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150593&randomCode=78134493603,玉器,清,高3.2公分 口徑16.2公分 底徑8.7公分 玉質，玉色泛白，口沿處有裂璺。口外撇、弧形壁，有圈足。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149593&randomCode=34039914132,玉器,清,高1.8公分 口徑10.02公分 底徑5.6公分 玉質，玉色泛白，有白綹。口稍外撇，弧形壁，有圈足。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149595&randomCode=75208695120,玉器,清,高1.8公分 口徑9.99公分 底徑5.5公分 玉質，玉色泛灰，有白綹。口稍外撇，弧形壁，有圈足。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150595&randomCode=53875651093,玉器,清,高2.5公分 口徑11.1公分 底徑7.3公分 玉質，玉色泛黃，口沿有片狀赭斑。五尖瓣菱花式口，稍外撇，弧形壁，有圈足。器底圈足內有四字隸書款：「嘉慶年製」。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149597&randomCode=40746578052,玉器,清,高2.5公分 口徑11.06公分 底徑7.2公分 玉質，玉色泛黃，有白綹及片狀赭斑，器身有多處裂璺。五尖瓣菱花式口，稍外撇，弧形壁，有圈足。器底圈足內有四字隸書款：「嘉慶年製」。
玉碟,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=149603&randomCode=69411527001,玉器,清,高3.1公分 口徑15.15公分 底徑8.1公分 玉質，玉色泛白，有白綹。口外撇、弧形壁，有圈足。壁薄可透光。
玉盤,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=150598&randomCode=55950689763,玉器,清 乾隆,高2.7公分 口徑13.27公分 底徑8.5公分 玉質，玉色泛黃，有片狀赭斑。直口、弧形壁，有圈足。器底圈足內有六字篆書款：「大清乾隆年製」。
翠玉帶鉤,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=156881&randomCode=635687937,玉器,清,通長8.1公分 寬2.5公分 全器分為鉤、環兩部份。鉤首作螭首狀，而鉤面與環面相同，均浮雕身軀彎曲盤繞的螭龍。
玉鳩杖首,https://digitalarchive.npm.gov.twhttps://digitalarchive.npm.gov.tw/opendata/Image/GetImage?imageId=1308534&randomCode=1820011674,玉器,清 乾隆,通高15.3公分 底寬4.0公分 玉質。以《西清古鑑》卷38頁25「漢鳩首杖頭」為藍本。器分三層：底層為一羊首；中層為一中空之Ｃ形，類似《西清古鑑》所載之「舞戚」；上層為一鳩鳥。鳩鳥口中銜珠，鳥羽琢碾細膩，纖毫不茍。舞戚部位陰刻楷書乾隆三十九年(1774)御製詩：「鑄銅及削玉，鳩首杖頭為。養老漢朝製，貢珍西域馳。因他食葚譬，啟我教民思。設曰資扶策，將留待異時。」署「乾隆甲午仲春御題」及「古香」、「太璞」二印。附填金木座，底刻御製詩。
